Autores,Titulo,Ano de Publicacao,Fonte,Status,EEG,BCI,MI,Classification,Model/pipeline,Temporal_filter,Anotation,Baixou
A. D. Athapattu; P. S. B. Dassanayake; G. S. C. Nanayakkara; S. N. Liyanage; G. A. I. Devindi; R. Ragel; T. Dissanayake; I. Nawinne,Self-Paced Brain-Computer Interface on Sensorimotor Rhythms for Controlling Virtual Objects,2024,IEEE,depende,depende,passou,depende,passou,passou,depende,"Artigo meio fora de escopo já que fala ""s. In this research, we explore the possibility of using the techniques used in the motor-imagery method for non-motor imagery mental tasks. The intention here is to use them in virtual object-controlling applications. The research was done with five different classification models using features from the Fast Fourier Transform (FFT) and Wavelet Transform (WT). The K-nearest neighbor model with features obtained with FFT continuously sustained its performance with a high 55% true positive rate."", mas é bom ler para ter certeza.",passou
Z. Wang; C. Cao; Y. Zhou; L. Chen; B. Gu; S. Liu; M. Xu; F. He; D. Ming,Integrating EEG and NIRS improves BCI performance during motor imagery,2021,IEEE,depende,depende,passou,depende,passou,passou,depende,"Esse artigo é um pouco diferente. Fala de integrar EEG com fNIRS, sem contar o fato do dataset utilizado ser bem especifico. Sem contar que o objetivo é a construção de um classificador. Não fala nada de filtro temporal se foi usado, quando e porque. Ler ele buscando o modelo e se tiver filtro temporal da pra colocar na SLR se não tá fora. Artigo fala ""This study aims to improve the BCI performance by integrating electroencephalographic and cerebral hemodynamic patterns. Sixteen volunteers participated in a seven-session motor imagery (MI) based visual-haptic neurofeedback training (NFT) experiment. Electroencephalogram (EEG) and near infrared spectroscopy (NIRS) signals were synchronously recorded during the transient NFT. Time-frequency and topology analysis demonstrated that repetitive and continuous visual-haptic NFT conditions could induce an enhancement on cortical activations. Additionally, a classifier calibration strategy was proposed by integrating both the EEG and NIRS information into a strong classifier.""",passou
R. Govindarajan; M. Haritha; M. O. Sabri; B. Priyanka; T. Mrudula; R. V,Optimal Deep Learning Model and Non-linear Features Extraction with Classification for Innovative Brain–Computer Interaction Using EEG Signals,2025,IEEE,depende,depende,passou,depende,passou,passou,passou,"O artigo fala ""The Optimal Deep Learning Model and Nonlinear Features Extraction with Classification for Innovative Brain–Computer Interaction Using EEG Signals (ODECBC) model enhances BCI systems by using advanced signal processing and hybrid classification methods, improving accuracy and reliability in detecting mental states like Idle, Mental Arithmetic, and Motor Imagery. It utilizes data from 18 healthy individuals, capturing high-resolution EEG signals at 2048 Hz and fNIRS signals at 13.3 Hz to ensure consistent data collection. To enhance signal quality through wavelet denoising and a Butterworth filter to reduce noise and interference, down-sampling signals are down-sampled to 200 Hz for easier processing. Nonlinear feature extraction techniques help reveal brain signal patterns, aiding in understanding cognitive functions."". Tem filtro temporal explicito, mas parece ser dependente do fNIRS e avalia não só MI",passou
R. Jiang; S. Qiu; Y. Wang; C. Zhang; H. He,Evaluation of EEG and MEG responses during Fine Motor Imagery from the same limb,2024,IEEE,depende,depende,passou,passou,depende,depende,depende,"Artigo fala sobre uma exploração cerebral usando EEG e MEG para ver se existem areas do cerebro que podem auxiliar na hora de classificar movimento de mesmo membro. Logo, fora de escopo. O artigo fala ""This study designed four kinds of MI tasks of different joints from the same upper limb, including finger, wrist, elbow, and shoulder joints, and additionally added a resting task. The EEG and MEG signals of eight subjects were acquired synchronously. Analysis was conducted on the EEG and MEG data to find the time, time-frequency, and spatial difference between MI tasks of different joints from the same limb. The induced event-related desynchronization (ERD) in EEG signals at the electrode position of the left motor area are more broad and stronger in the alpha frequency band than that in MEG signals during fine MI tasks. From the topographical distribution, different MI tasks affects the area and intensity of the activated area, and topographical distribution of MEG signals in different MI tasks are more discriminative than that of EEG signals. Moreover, the analysis of movement-related cortical potentials (MRCP) showed that significant negative potentials were detected near the onset of the motor imagery events and there is a significant difference in temporal dimension between magnetoencephalogram and electroencephalogram signals. The work implies that there exist the separable differences between EEG and MEG during fine MI tasks, which can be utilized to build a multimodal classification method for fine MI-BCI systems.""",passou
Z. Wang; L. Yang; Y. Zhou; L. Chen; B. Gu; S. Liu; M. Xu; F. He; D. Ming,Incorporating EEG and fNIRS Patterns to Evaluate Cortical Excitability and MI-BCI Performance During Motor Training,2023,IEEE,depende,depende,passou,passou,passou,depende,depende,"Artigo parece estar fora de escopo, usa fNIRS junto, e compara um classificador especifico para o combo com EEG e só EEG separada. Acho que não conta, mas é bom verificar.",passou
M. J. Khan; K. -S. Hong; N. Naseer; M. R. Bhutta,A hybrid EEG-fNIRS BCI: Motor imagery for EEG and mental arithmetic for fNIRS,2014,IEEE,depende,depende,passou,passou,passou,depende,passou,"Artigo é meio diferente no proposito, mas acaba parte dele encaixa no escopo. O artigo fala "" The EEG data were band-pass filtered to obtain the activity (8~18 Hz).""",passou
S. Zhu; S. I. Hosni; X. Huang; S. B. Borgheai; J. McLinden; Y. Shahriari; S. Ostadabbas,A Graph-Based Feature Extraction Algorithm Towards a Robust Data Fusion Framework for Brain-Computer Interfaces,2021,IEEE,depende,depende,passou,passou,passou,passou,depende,"Parece que usa filtro temporal na forma de bandpass. Além disso, parece estar fora do escopo já que o foco é o metodo hibrido (EEG-fNIRS), sem contar que tem que entender melhor como foi feita essa analise. Ler e verificar se é isso mesmo. Artigo fala ""We first extract the amplitude and phase sequences of users’ multi-channel EEG signals based on the complex Morlet wavelet time-frequency maps, and then convert them into an undirected graph to extract EEG topological features. The graph-based features from EEG are then selected by a thresholding method and fused with the temporal features from fNIRS signals after each being selected by the least absolute shrinkage and selection operator (LASSO) algorithm. The fused features were then classified as MI task vs. baseline by a linear support vector machine (SVM) classifier. Results: The time-frequency graphs of EEG signals improved the MI classification accuracy by ∼5% compared to the graphs built on the band-pass filtered temporal EEG signals.""",passou
Qin L.; Ding L.; He B.,Motor imagery classification by means of source analysis for brain-computer interface applications,2004,Scopus,depende,passou,passou,depende,depende,depende,depende,Artigo faz um estudo sobre classificação de MI usando o resultado do problema inverso para dizer se foi ou não realisado o movimento. Foi usado o ICA como filtro espaço temporal. Muito tem que ser verificado para enteder melhor o que foi feito e se cabe dentro da SLR,passou
Chandrakant N.,Administrating MANETs via brain computer interface,2014,Scopus,depende,passou,passou,depende,depende,depende,depende,"O artigo fala ""The algorithms of Digital signal processing and pattern recognition certainly constitute necessary components of a BCI system which are applied to the EEG signals to decode mental states those are relevant for BCI operation"" mas complementa apenas depois com ""The processed data has been applied on to nodes of MANET where each set of sensor nodes are used for particular application"". Acretido que esse artigo pode ser cortado fora, mas vale a pena ver para ter certeza.",nao_passou
Tsui C.S.L.; Gan J.Q.; Roberts S.J.,A self-paced brain - Computer interface for controlling a robot simulator: An online event labelling paradigm and an extended Kalman filter based algorithm for online training,2009,Scopus,depende,passou,passou,depende,depende,depende,depende,"não fala nada com muita clareza, verificar se pode cortar.",passou
Yamaguchi T.; Fujio M.; Inoue K.,Design method of morphological structuring function for pattern recognition of EEG signals during motor imagery and cognition,2011,Scopus,depende,passou,passou,depende,depende,depende,depende,"O artigo fala ""we propose a design method of structuring function that determines the filter characteristic of morphology. The morphological method is compared with discrete wavelet transform (DWT) method from the view point of filter characteristics"". Pode ser que tenha filtro, mas tem que verificar se é MI de classificação.",passou
Higashi H.; Tanaka T.,Common spatio-time-frequency patterns for motor imagery-based brain machine interfaces,2013,Scopus,depende,passou,passou,depende,depende,depende,depende,"Sobre os filtros o artigo fala ""how to determine spatial weights (spatial patterns), bandpass filters (frequency patterns), and time windows (time patterns) by utilizing electroencephalogram (EEG) recordings"". Agora nãoestá claro se é problema de classificação de MI",passou
Mutasim A.K.; Tipu R.S.; Bashar M.R.; Islam M.K.; Amin M.A.,Computational intelligence for pattern recognition in EEG signals,2018,Scopus,depende,passou,passou,depende,depende,depende,depende,"O capitulo do livro fala ""starting from removing noises (using advanced signal processing techniques such as SWTSD, ICA, EMD, other than traditional filtering by identifying/exploiting different artifact/noise characteristics/patterns)"". Logo pode ser que aparecem filtros temporais ali de forma clara.",nao_passou
P. Rajpura; H. Cecotti; Y. K. Meena,Quantifying Spatial Domain Explanations in BCI using Earth Mover’s Distance,2024,IEEE,depende,passou,passou,depende,depende,depende,depende,"Fora do escopo, é uma review de filtro espacial.",passou
M. K. Islam; A. Rastegarnia,Probability Mapping Based Artifact Detection and Wavelet Denoising based Artifact Removal from Scalp EEG for BCI Applications,2019,IEEE,depende,passou,passou,depende,depende,depende,depende,"Artigo não deixa claro se usa para EEG BCI MI de classificação. Parece um estudo de caso de identificação de artefatos de sinal. Ler para verificar, mas provavelmente esse ta fora. O artigo fala "" In this paper, we present a novel method that can map the artifact probability of an EEG epoch based on four statistical measures: entropy, kurtosis, skewness and Periodic Waveform Index PWI). Then a removal method is adopted based on stationary wavelet transform that can be applied to the epochs by setting a particular probability threshold from the user. This epoch by epoch preprocessing would allow the user to tune the threshold parameters after some initial training with the same EEG recordings and eventually can be applied to both offline and online processing.""",passou
Huang T.; Luo Z.; Lyu Y.,A2FWPO: Anti-aliasing Filter Based on Whale Parameter Optimization Method for Feature Extraction and Recognition of Dance Motor Imagery EEG,2023,Scopus,depende,passou,passou,depende,depende,passou,depende,"Artigo estranho fala sobre dance motor imagery. O artigo fala que ""feature extraction and recognition of dance motor imagery EEG, which makes full use of the advantage of anti-aliasing filter based on whale parameter optimization method. The anti-aliasing filter is used for preprocessing, and the filtered signal is extracted by two-dimensional empirical wavelet transform"". Pode ser que ele entre no conjunto dentro do grupo ""paradigma de MI, problema de classificação"", mas não tenho certeza não. Se entrar é bom ver mais sobre o filtro falado se ele se encaixa mesmo como filtro temporal",passou
L. Zhao; X. Wang,A multi-modal BCI system based on motor imagery,2015,IEEE,depende,passou,passou,depende,depende,passou,depende,"Artigo fala ""this paper used wavelet packet decomposition (WPD) and short-time Fourier transform (STFT) to feature extraction, which provided the basis for real-time online BCI system. With combination of advantages of two electroencephalograms (EEG) as Alpha wave and motor imagery and design of control strategy, multimodal brain-computer interface was built on LabVIEW to implement functions of mouse click and web browser."". Ler e verificar.",passou
I. T. Hettiarachchi; T. T. Nguyen; S. Nahavandi,Multivariate Adaptive Autoregressive Modeling and Kalman Filtering for Motor Imagery BCI,2015,IEEE,depende,passou,passou,depende,depende,passou,depende,o artigo não deixa claro se é para classificação em MI. Nem é claro se tem filtro temporal,passou
Ž. Rohutná; R. Vargic,An Approach to EEG based BCI for Motor Imagery using Explainable Transfer Learning,2023,IEEE,depende,passou,passou,depende,depende,passou,depende,"Não deixou claro o paradigma nem se tem filtro temporal. Fala apenas ""We focus on image-based feature representation. The time-frequency based representation and its selected variants along with bi-spectrum were used.""",passou
M. Iftikhar; S. A. Khan; A. Hassan,A Survey of Deep Learning and Traditional Approaches for EEG Signal Processing and Classification,2018,IEEE,depende,passou,passou,depende,depende,passou,depende,"Não tá claro se esse survey é de MI, se tem foco em classificação e se tem filtro temporal. Fala de feature extraction, logo é bom ler só pra ter certeza que algum metodo de filtro temporal não é considerado ali no meio. O artigo fala ""In this paper first, we survey comparative evaluation of various recent techniques for feature selection and classification applied for BCI at each stage. Second, the use of deep learning techniques for brain signal classification is explored.""",passou
"Song Y, Sepulveda F.",A novel onset detection technique for brain-computer interfaces using sound-production related cognitive tasks in simulated-online system,2017,PubMed,passou,passou,passou,depende,depende,passou,depende,Não aparenta com claresa ser um caso de EEG-BCI-MI de classificação. Porem fala de metodos de filtragem sendo usados como extração de caracteristisas (Band power e DWT - Wavelet).,passou
Chen Z.; Liang Q.; Zhang B.,Analysis of EEG signal evoked by passive movement and motor imagery,2018,Scopus,depende,passou,passou,depende,depende,passou,passou,"Não é MI puro, mas deve ter para fazer a comparação. Fala do uso do FBCSP. Verificar para ter certeza de mais filtros temporais.",nao_passou
S. Zolfaghari; T. Y. Rezaii; S. Meshgini; A. Farzamnia; L. C. Fan,Speed Classification of Upper Limb Movements Through EEG Signal for BCI Application,2021,IEEE,depende,passou,passou,depende,depende,passou,passou,"Tem FBCSP, logo tem filtro temporal, mas acredito estar fora de escopo, pois o objetivo deste trabalho é classificação da velocidade do movimento REALIZADO e não IMAGINADO. Discutir com gabriel para ver se entra mas acredito que este esteja fora. Artigo fala ""This paper investigated the classification of the slow and fast speeds of eight different upper limb movements through electroencephalogram (EEG) signals and information about the values of speed and maximum angle of movements from the MPU6050 module. Datasets were obtained by recording the EEG signals from 10 subjects and the module information connected on their right hand during movements. This study used Filter Bank Common Spatial Pattern (FBCSP) and Wavelet-Common Spatial Pattern (W-CSP) methods to extract speed features of movements.""",passou
"Tong J, Wei X, Dong E, Sun Z, Du S, Duan F.",Hybrid mental tasks based human computer interface via integration of pronunciation and motor imagery,2022,PubMed,passou,passou,passou,depende,depende,passou,passou,"Artigo usa ""pronunciation imagination (PI)"" além de MI, usa uma versão do FBCSP e aparenta ser um problema de classificação. Melhor ler para verificar.",passou
Zhang H.; Dai J.; Zhang S.; Wang Q.; Li Q.; Liu X.; Hao Y.; Yu Y.; Jiang K.; Liu J.; Zhu F.; Chen W.; Zheng X.,Neural ensemble decoding of rat's motor cortex by Kalman filter and optimal linear estimation,2009,Scopus,depende,passou,passou,depende,nao_passou,depende,depende,"Não é caso de classificação e não está claro se ""Kalman filter (KF) and Optimal Linear Estimation (OLE)"" contam como filtro temporal.",passou
Daly I.; Billinger M.; Scherer R.; Müller-Putz G.,On the automated removal of artifacts related to head movement from the EEG,2013,Scopus,depende,passou,passou,depende,nao_passou,depende,depende,"Não parece ser do escopo de classificação, nem parece ter foco nos modelos para ter um filtro temporal dentro.",passou
Yamaguchi T.; Fujio M.; Inoue K.; Pfurtscheller G.,Wavelet analysis of EEG signals during motor imagery,2008,Scopus,depende,passou,passou,depende,nao_passou,depende,depende,"Artigo fala sobre analise do sinal e não sua aplicação no caso do problema de um paradigma. Mas afala do uso de wavelet pra essa analise, provavelmente usando ela como um filtro temporal, mas teria que ver.",passou
Nguyen N.A.T.; Tao Q.-B.; Yang H.-J.; Huynh H.T.; Vinh N.T.Q.; Ninh D.K.,iTa-DFiE: An Innovative Tensor Algebra-Based Detection Framework for Incomplete Noninvasive Electroencephalography,2024,Scopus,depende,passou,passou,depende,passou,depende,depende,Fala de um metodo para ajudar em caso de EEG sem dados completos. Ai o Innovative Tensor Algebra-based Detection Framework for Incomplete Noninvasive Electroencephalography (iTa-DFiE) resolve o problema. Ver mais a fundo se ele se encaixa,passou
J. Cantillo-Negrete; J. Gutiérrez-Martínez; R. I. Cariño-Escobar; T. B. Flores-Rodríguez; D. Elías-Viñas,Time-frequency analysis of EEG signals from healthy subjects allocated by gender for a subject-independent BCI-based on motor imagery,2013,IEEE,depende,passou,passou,depende,passou,depende,depende,"Artigo fala ""Three different methods were employed to compute power spectrum features from the volunteer's electroencephalographic recordings. The results show that it is possible to design an independent-subject BCI for the classification of right or left hand motor imagery with respect of a reference interval with classification accuracies above 70%. The female gender could benefit more from a subject-independent classifier, than the male gender"", logo provavelmente tem filtro temporal, mas é bom verificar.",passou
S. Prasad; Zheng-Hua Tan; R. Prasad; A. F. Cabrera; Y. Gu; K. Dremstrup,Feature selection strategy for classification of single-trial EEG elicited by motor imagery,2011,IEEE,depende,passou,passou,depende,passou,depende,depende,"Artigo não deixa muito claro se é MI nem se tem filtro temporal. O artigo fala ""n this paper, we present a feature selection strategy consisting of channel selection by fisher ratio analysis in the frequency domain and time segment selection by visual inspection in time domain. The proposed strategy achieves an absolute improvement of 7.5% in the misclassification rate as compared with the baseline system that uses wavelet coefficients as features and support vector machine (SVM) as classifier.""",passou
Song Y.; Sepulveda F.,Comparison between covert sound-production task (sound-imagery) vs. motor-imagery for onset detection in real-life online self-paced BCIs,2020,Scopus,depende,passou,passou,depende,passou,nao_passou,nao_passou,"Não fala de metodo, fala de uma nova forma de fazer experimentos. Não apresentou nenhum modelo também",passou
Zhou Q.; Ye X.; Li S.; Du Q.; Ke L.,CD3Net: A Contrastive Diffusion Model with Domain Adaptive Data Synthetic Network for Motor Imagery and Emotion classification,2025,Scopus,depende,passou,passou,depende,passou,passou,depende,"O artigo fala ""To adaptively reduce noise, this paper proposes the Contrastive Diffusion Model with Domain Adaptive Data Synthetic Network(CD3Net), a contrastive diffusion model for synthesizing domain adaptation EEG data. Firstly, we separated the clean module and the noise module in the reverse process of diffusion to achieve denoising, then obtained the synthesized data"". Isso me parece ter o uso de uma estrategia para filtragem temporal (denoise). Não fica claro se é para o paradigma MI, mas parece ser por conta das keywords.",passou
Lu N.; Li T.; Ren X.; Miao H.,A Deep Learning Scheme for Motor Imagery Classification based on Restricted Boltzmann Machines,2017,Scopus,depende,passou,passou,depende,passou,passou,depende,"O artigo fala "" Specifically, frequency domain representations of EEG signals obtained via fast Fourier transform (FFT) and wavelet package decomposition (WPD) are obtained to train three RBMs"". Pode ser que o FFT ou WPD são usados como filtro temporal.",passou
G. S. Dharwarkar; O. Basir,Enhancing Temporal Classification of AAR Parameters in EEG single-trial analysis for Brain-Computer Interfacing,2005,IEEE,depende,passou,passou,depende,passou,passou,depende,Artigo não deixa claro se é de MI nem nada sobre filtro temporal,passou
N. Yamawaki; C. Wilke; Zhongming Liu; Bin He,An enhanced time-frequency-spatial approach for motor imagery classification,2006,IEEE,depende,passou,passou,depende,passou,passou,depende,"O artigo fala ""We have previously proposed two novel methods on time-frequency feature extraction, expression and classification for high-density EEG recordings (Wang and He 2004; Wang, Deng, and He, 2004). In the present study, we refined the above time-frequency-spatial approach and applied it to a one-dimensional ""cursor control"" BCI experiment with online feedback. Through offline analysis of the collected data, we evaluated the capability of the present refined method in comparison with the original time-frequency-spatial methods."". Vale a pena verificar se tem filtro temporal e se é de MI, pois parece que é, mas não ficou claro",passou
J. Yin; X. Chen; A. Liu,Efficient Ocular Artifacts Removal From EEG Recordings Using State-Space Model,2025,IEEE,depende,passou,passou,depende,passou,passou,depende,"Artigo fala sobre um metodo para remover movimentação ocular do sinal para ajudar na classificação de MI e Emotion. Não fica claro o uso de filtro temporal. Vale a pena verificar só se foi usado algum, pois provavelmente o metodo proposto está fora do escopo. O artigo fala ""To improve efficiency while maintaining effective long-sequence modeling, we introduce an efficient ocular artifacts removal network (EORNet) that leverages the state-space model (SSM) to achieve linear complexity in modeling temporal relationships. EORNet extracts a wide range of EEG features by leveraging the inherent interdependencies within each segment through supervised training, significantly reducing model complexity without compromising representational capabilities. Experimental results demonstrate that EORNet outperforms previous attention-based algorithms, increasing the signal-to-noise ratio by 1.486, reducing floating-point operations (FLOPs) by 36×, and lowering parameter count by 12×. Furthermore, EORNet exhibits a 2.57% improvement in motor imagery classification accuracy and a 2.03% enhancement in emotion recognition accuracy compared with raw data, demonstrating its effectiveness in brain–computer interface tasks. This study emphasizes the capability of SSMs in effectively processing time-series biosignals.""",passou
Q. Zhou; X. Ye; S. Li; Y. Zhao; Q. Du; L. Ke,MOKD-EEG:Multi-Task Learning-Based Online Knowledge Distillation for Cross-Task EEG Classification,2025,IEEE,depende,passou,passou,depende,passou,passou,depende,"Parece usar STFT como filtro temporal, mas é bom verificar. O artigo fala "" this paper propose a Multi-Task Learning-Based Online Knowledge Distillation (MOKD-EEG) framework for Cross-Task to enhance the adaptability of EEG classification models. Initially, EEG data is first preprocessed using Short-Time Fourier Transform (STFT) to ensure compatibility with feature extraction networks. In addition, the framework introduces Online Knowledge Distillation Training (OKD-T) to optimize task-specific and shared representations, which incorporates Single-Task and Multi-Task networks. To further mitigate task conflicts, Adaptive Representation Distillation (ARD) is employed to dynamically align intermediate features across tasks. Finally, Dynamic Weight Adjustment (DWA) is introduced to prioritize tasks based on their learning states, ensuring balanced optimization during training.""",passou
T. Sumardi; A. Afriyanti; M. A. Suhendra; S. Ajidarmo; M. I. Basri; M. F. Amri,Classifying EEG-Based Motor Imagery for Drone Control Using Artificial Neural Network,2024,IEEE,depende,passou,passou,depende,passou,passou,depende,"Parece usar wavelet como filtro temporal. O artigo também fala sobre controle de drone usando o paradigma de MI de classificação, mas tá um pouco estranho. Verificar para ver se ele entra no conjunto ou não. O artigo fala ""This study investigates the classification of EEG-based motor imagery (MI) signals for drone control using artificial neural networks (ANN). EEG data from six participants was collected using the Emotiv Epoc X device, focusing on MI related to drone movements. Feature extraction was performed using the discrete wavelet transform (DWT), followed by classification with a two-layer ANN with statistical parameters as input. The results indicate the significance of the ANN regression model in classifying motor imagery, although variations in model performance were observed across subjects. While overfitting was noted in one subject, indicating the need for validation sets, the models for other subjects showed good generalization. The ANN model achieved high accuracy in classifying movements “take-off” (98%) and “forward” (99%), but struggled with the “turn-left” (82%), suggesting the need for further model adjustments or additional data to improve generalization.""",passou
