Autores,Titulo,Ano de Publicacao,Fonte,Status,EEG,BCI,MI,Classification,Model/pipeline,Temporal_filter,Anotation,Baixou
A. C. Subrata; M. Agus Riyadi; T. Prakoso,EEG-based BMI using Multi-Class Motor Imagery for Bionic Arm,2020,IEEE,depende,passou,passou,passou,depende,passou,depende,"não ficou claro se tem filtro temporal nem se o paradigma é de classificação. O artigo fala sobre ""The electrical activity of the brain recorded using electroencephalography (EEG) can be utilized for bionic arm control. The movement of grasping an object to fulfill ADL is a complex movement, so a system that is able to overcome these needs is needed. The Brain-Machine Interface (BMI) with Motor Imagery (MI) on a bionic arm multiclass control system based on Fast Fourier Transform (FFT) and Support Vector Machine (SVM) is described and discussed in this article. The system built can handle complex movements grasping various objects and evaluated for use with long pauses. The experiment results show good SVM-FFT performance when implemented on a real bionic arm. The use of Additional Movement (AM) increases classification success by up to 20%. On the other hand, this system is able to handle usage even though it has been rested in a few minutes."". Ler e verificar.",passou
Wang J.; Yao L.; Wang Y.,Enhanced Online Continuous Brain-Control by Deep Learning-Based EEG Decoding,2025,Scopus,depende,passou,passou,passou,depende,passou,passou,"Fala do uso do FBCSP e de um modelo chamado IFNet. Aparentemente tem filtro temporal, porem não ta claro ainda se o artigo se trata de um caso de classificação.",passou
H. Higashi; T. Tanaka,Optimal design of a bank of spatio-temporal filters for EEG signal classification,2011,IEEE,depende,passou,passou,passou,depende,passou,passou,"O artigo fala ""In order to efficiently extract these brain activities, we propose a method to design plural filters and spatial weights which extract desired brain activity. The proposed method designs finite impulse response (FIR) filters and the associated spatial weights by optimization of an objective function which is a natural extension of CSP. Moreover, we show by a classification experiment that the bank of FIR filters which are designed by introducing an orthogonality into the objective function can extract good discriminative features. Moreover, the experiment result suggests that the proposed method can automatically detect and extract brain activities related to motor imagery."". Porém isso não deixa claro se ele fala do uso do metodo proposto em um problema de classificação MI. Ler para ter cesreza",passou
I. Mustafa; I. Mustafa,Smart thoughts: BCI based system implementation to detect motor imagery movements,2018,IEEE,depende,passou,passou,passou,depende,passou,passou,"Tem filtro temporal na forma de um bandpass. Artigo fala ""The purpose of this research is to enable the user to send motor imagery movements commands to the computer and make sure that the computer will perform these motor imagery movements correctly and consume less time for real-time processing. For ensuring all these things an algorithm (not only algorithm a way for BCI systems to record, filter and process signals smartly) is designed. In the proposed approach, major electrodes dealing with motor imagery movement are selected and others are eliminated, which make proposed system more effective light and fast after eliminating extra electrode signals are passed by the band-pass filter for eliminating contaminated signals. Results show that proposed system is increasing the accuracy of motor imagery movement detection. Eliminating the extra data efficiently, which is making the system more light and fast. By making the number of electrodes less proposed system is optimizing the signals which enabling real-time processing much better, fast and accurate. The main purpose of the proposed approach is to make BCI based motor imagery movement detection, better, fast, efficient and performing real-time operations. Proposed work has many avenues for the future.""",passou
Fagg A.H.; Ojakangas G.W.; Miller L.E.; Hatsopoulos N.G.,Kinetic trajectory decoding using motor cortical ensembles,2009,Scopus,depende,passou,passou,passou,nao_passou,depende,depende,Artigo se trata de um caso de MI fora do escopo de classificação. Não aparenta claramente se tem filtro temporal.,passou
Liu C.; Fu Y.; Yang J.; Xiong X.; Sun H.; Yu Z.,Discrimination of motor imagery patterns by electroencephalogram phase synchronization combined with frequency band energy,2017,Scopus,depende,passou,passou,passou,nao_passou,depende,depende,"Não é um caso de Classificação, mas fala """,passou
M. Hamedi; S. -H. Salleh; S. B. Samdin; A. M. Noor,Motor imagery brain functional connectivity analysis via coherence,2015,IEEE,depende,passou,passou,passou,nao_passou,depende,depende,"Artigo não é um caso de MI de classificação, mas sim um estudo exploratorio",passou
Abdul Ameer Abbas A.; Martínez-García H.,Real-Time Motor Imagery-Based Brain–Computer Interface System by Implementing a Frequency Band Selection,2023,Scopus,depende,passou,passou,passou,passou,depende,depende,"Artigo fala ""In addition, a digital signal filter will be designed to keep the most characteristic frequency bands of each individual and increase accuracy significantly"", mas vale a pena ver com certeza",passou
Kamousi B.; Amini A.N.; He B.,Classification of motor imagery by means of cortical current density estimation and Von Neumann entropy,2007,Scopus,depende,passou,passou,passou,passou,depende,depende,"Fala ""goal of the present study is to employ the source imaging methods such as cortical current density estimation for the classification of left- and right-hand motor imagery tasks"" depois fala ""EEG was first preprocessed by surface Laplacian filtering, time-frequency filtering, noise normalization and independent component analysis"". Verificar com mais clareza sobre o que se fala.",passou
Dong F.; Wu L.; Feng Y.; Liang D.,Research on Movement Intentions of Human's Left and Right Legs Based on Electro-Encephalogram Signals,2022,Scopus,depende,passou,passou,passou,passou,depende,depende,"Parece ser meio fora da curva, pois trabalha com movimento de perna robotica usando apenas classificação. Entretanto também não fala de um modelo, mas pode ser que tenha filtro temporal. Melhor olhar mais a fundo para ter certeza antes ja que ""the EEG signals generated by the protocol were preprocessed"".",passou
Yang B.-h.; Yan G.-z.; Yan R.-g.; Wu T.,Adaptive subject-based feature extraction in brain-computer interfaces using wavelet packet best basis decomposition,2007,Scopus,depende,passou,passou,passou,passou,depende,depende,"Fala que ""electroencephalogram (EEG) signals are decomposed to a given level by wavelet packet transform"". Pode ser que isso é filtro temporal, mas vale a pena ter certeza.",nao_passou
Pa Aung K.P.; Nwe K.H.,Regions of Interest (ROI) Analysis for Upper Limbs EEG Neuroimaging Schemes,2020,Scopus,depende,passou,passou,passou,passou,depende,depende,Não fala de forma clara de um modelo nem de um metodo de filtro temporal. Mas pode ser que tenha.,passou
Lemm S.; Schäfer C.; Curio G.,BCI Competition 2003 - Data set III: Modeling of sensorimotor μ rhythms for classification of imaginary hand movements,2004,Scopus,depende,passou,passou,passou,passou,depende,depende,"O Artigo fala "" filtering EEG wideband raw data with causal Morlet wavelets, which are adapted to individual EEG spectra. Since imaginary hand movements lead to perturbations of the ongoing pericentral μ rhythm, we estimate probabilistic models for amplitude modulation in lower (10 Hz) and upper (20 Hz) frequency bands over the sensorimotor hand cortices both contra- and ipsilaterally to the imagined movements (i.e., at EEG channels C3 and C4)"". Parece então usar Wavelets como um possivel filtro temporal.",passou
Zhao L.; Sun Y.; Ma Y.; Guo X.; He Y.; Gao X.,Research of brain-computer interface system based on motor imagery,2012,Scopus,depende,passou,passou,passou,passou,depende,depende,"O artigo fala ""Using elliptic filter to signal preprocessing, using FFT to extract the characteristic value of motor imagery EEG"". Possivelmente tem filtro temporal.",nao_passou
Herman P.; Prasad G.; McGinnity T.M.; Coyle D.,Comparative analysis of spectral approaches to feature extraction for EEG-based motor imagery classification,2008,Scopus,depende,passou,passou,passou,passou,depende,depende,"O artigo fala ""objective of the paper is to perform comparative analysis of different approaches to spectral signal representation such as power spectral density (PSD) techniques, atomic decompositions, time-frequency (t-f) energy distributions, continuous and discrete wavelet approaches, from which band power features can be extracted and used in the framework of MI classification"". Portanto parece ter filtro temporal.",passou
Schlögl A.; Lee F.; Bischof H.; Pfurtscheller G.,Characterization of four-class motor imagery EEG data for the BCI-competition 2005,2005,Scopus,depende,passou,passou,passou,passou,depende,depende,"Pode ser que o Kalman filter falado no artigo aparece como um filtro temporal, mas é melhor ler para ter certeza.",passou
Avilés-Cruz C.; Villegas-Cortez J.; Ferreyra-Ramírez A.; Zúnuñiga López A.,EEG pattern recognition: An efficient improvement combination of ERD/ERS/Laterality features to create a self-paced BCI system,2016,Scopus,depende,passou,passou,passou,passou,depende,depende,"artigo fala que ""Our proposal uses delta, theta, alfa and beta rhythms to BCI system. From the spectral power, an efficient combination of ERD/ERS/laterality features was used. Because electroencephalogram signals are non-stationary type and highly vary over time and frequency, a detailed time-frequency analysis is applied. Features coming from timefrequency analysis, where eight frequency bands ranging from 0 to 32 Hz were chosen"". Portanto, pode se dizer que usa filtro temporal dentro dessa abordagem, mas não fala claramente que usa.",nao_passou
López-Montes C.; Cárdenas-Peña D.; Castellanos-Dominguez G.,Supervised Relevance Analysis for Multiple Stein Kernels for Spatio-Spectral Component Selection in BCI Discrimination Tasks,2019,Scopus,depende,passou,passou,passou,passou,depende,depende,"O artigo fala "" propose a spatio-spectral relevance analysis, termed Multiple Stein Kernels (MSK), to simultaneously select channels and bands in a supervised criterion, so reducing the spatial and frequency dimension"". Parece que usa um metodo de filtragem temporal, vale a pena verificar se o MSK funciona como tal ou se tem outro.",passou
Sun L.; Feng Z.R.,Classification of imagery motor EEG data with wavelet denoising and features selection,2016,Scopus,depende,passou,passou,passou,passou,depende,depende,"O artigo fala "" wavelet denoising algorithm is proposed to reduce noise from motor imagery EEG data and a power spectral density (PSD) feature selection method is used to improve classification accuracy"". Parece usar wavelet como filtro temporal.",passou
Yong X.; Menon C.,EEG classification of different imaginary movements within the same limb,2015,Scopus,depende,passou,passou,passou,passou,depende,depende,Fala sobre classificação de mesmo membro do corpo. Pode ser que tenha filtro temporal. Ler pra ter certeza,passou
Kong W.; Guo X.; Zhao X.; Wei D.; Hu S.; Dai G.; Vecchiato G.; Babiloni F.,Spectral analysis of brain function network for the classification of motor imagery tasks,2011,Scopus,depende,passou,passou,passou,passou,depende,depende,"Então, fala ""It is different from classical methods which classified the MI task with time-frequency analysis on EEG signals. It employs the brain function network(BFN) as a new characteristic to describe MI tasks"". Portanto não é exatamente o mesmo ponto analise. Porem é possivel que não tenha filtro temporal por conta disso. Só ver se tem para poder incluir ou n",passou
Lu N.; Li T.; Pan J.; Ren X.; Feng Z.; Miao H.,Structure constrained semi-nonnegative matrix factorization for EEG-based motor imagery classification,2015,Scopus,depende,passou,passou,passou,passou,depende,depende,"O artigo fala ""structure constrained semi-nonnegative matrix factorization (SCS-NMF), to extract the key patterns of EEG data in time domain by imposing the mean envelopes of event-related potentials (ERPs) as constraints on the semi-NMF procedure. The proposed method is applicable to general EEG time series, and the extracted temporal features by SCS-NMF can also be combined with other features in frequency domain to improve the performance of motor imagery classification"" e complementa falando que compara ""ICA, PCA, Semi-NMF, Wavelets, EMD and CSP"". Verificar mais a fundo pra saber se SCS-NMF é realmente filtro temporal ou só uma das partes dele",passou
Kumar R.; Sahu M.; Mohdiwale S.,Two Class Motor Imagery Classification Based on ANFIS,2020,Scopus,depende,passou,passou,passou,passou,depende,depende,"Tem que ver se tem uso como filtro temporal, mas o artigo fala ""This paper present better pre-processing and classification for motor imagery based EEG signals. Discrete wavelet transform (DWT) features are computed from decomposed coefficients. Equal width discretization (EWD) and Shannon entropy were used to discretize and for selection of features respectively. After that selected features are applied as input into ANFIS for classification"".",nao_passou
T. Nguyen; S. Nahavandi; A. Khosravi; D. Creighton; I. Hettiarachchi,EEG signal analysis for BCI application using fuzzy system,2015,IEEE,depende,passou,passou,passou,passou,depende,depende,"Fala sobre ""An approach to EEG signal classification for brain-computer interface (BCI) application using fuzzy standard additive model is introduced in this paper. The Wilcoxon test is employed to rank wavelet coefficients. Top ranking wavelets are used to form a feature set that serves as inputs to the fuzzy classifiers""",passou
M. Ahmad; M. Aqil,Implementation of nonlinear classifiers for adaptive autoregressive EEG features classification,2015,IEEE,depende,passou,passou,passou,passou,depende,depende,"Não fica claro o pipeline usado nem se tem filtro temporal. O artigo só fala ""For validation, hands movement imaginations based experiments are conducted using low price EEG EPOC headset. A comparative study, carried out amongst the nonlinear classifiers and with a linear discriminant analysis, demonstrates the dominance of the MLP as nonlinear classifier"" e ""The EEG features are modeled as adaptive autoregressive model and estimated using recurring least square algorithm"".",passou
P. Gaur; R. B. Pachori; Hui Wang; G. Prasad,An empirical mode decomposition based filtering method for classification of motor-imagery EEG signals for enhancing brain-computer interface,2015,IEEE,depende,passou,passou,passou,passou,depende,depende,"Parece falar que tem um novo filtro ""we present a new filtering method based on the empirical mode decomposition (EMD) for classification of motor imagery (MI) electroencephalogram (EEG) signals for enhancing brain-computer interface (BCI)"". Entretanto vale a pena ler pra ter certeza",passou
J. Hurtado-Rincon; S. Rojas-Jaramillo; Y. Ricardo-Cespedes; A. M. Álvarez-Meza; G. Castellanos-Domínguez,Motor imagery classification using feature relevance analysis: An Emotiv-based BCI system,2014,IEEE,depende,passou,passou,passou,passou,depende,depende,"Fala de 2 datasets de paradigmas diferentes, mas tem um de MI. Verificar se tem filtro já que fala ""In this work, a time-series discrimination methodology, called Motor Imagery Discrimination by Relevance Analysis (MIDRA), is presented to support the development of BCI from EEG data""",passou
X. Guo; X. Wu; X. Gong; L. Zhang,Envelope detection based on online ICA algorithm and its application to motor imagery classification,2013,IEEE,depende,passou,passou,passou,passou,depende,depende,"Estranho, porem pode ser que tenha filtro temporal já que fala ""This paper explored a new approach of applying online ICA based on sliding window Infomax algorithm for BCI implementation. In addition to having good performance of blind source separation as traditional ICA, the proposed method has the characteristics that can synchronously realize the online envelope detection of multi-channel signals, which is that other methods do not have, such as Hilbert transform. Then the online ICA is applied to the envelope detection of mu rhythm evoked by motor imagery and good classification results of imagining left and right hand movement are achieved on real-life data""",passou
E. Abdalsalam M.; M. Z. Yusoff; N. Kamel; A. Malik; M. Meselhy,Mental task motor imagery classifications for noninvasive brain computer interface,2014,IEEE,depende,passou,passou,passou,passou,depende,depende,"Artigo fala ""The data were preprocessed to remove the artifact as well as the noise by using EEGlab toolbox. Wavelet transforms namely Daubechies and symlets were used for feature extraction"". É bom verificar para ter certeza se tem filtro e quais foram aplicados.",passou
K. Belwafi; R. Djemal; F. Ghaffari; O. Romain,An adaptive EEG filtering approach to maximize the classification accuracy in motor imagery,2014,IEEE,depende,passou,passou,passou,passou,depende,depende,"Artigo fala sobre um filtro adaptativo, mas é bom verificar. Ele fala ""We propose in this paper a novel approach of adaptive filtering of EEG signals. The filter adapts to the intrinsic characteristics of each person. The goal of the proposed method is to enhance the accuracy of the home devices system controlled by the thoughts related to two motor imagery actions. μ-rhythm and β-rhythm are the specific returned bands that contain the information. The main idea of the proposed method is to preserve the frequency bands of interest with a different value of the SNR on the stop-band""",passou
H. Yang; C. Guan; C. C. Wang; K. K. Ang,Maximum dependency and minimum redundancy-based channel selection for motor imagery of walking EEG signal detection,2013,IEEE,depende,passou,passou,passou,passou,depende,depende,"Verificar, pois o resumo não deixa claro sobre o uso de filtro temporal. Artigo fala ""Comparison results revealed significantly superior performance of our proposed method compared to that obtained using common spatial pattern and filter bank with power features. Most importantly, our proposed method achieves significant better accuracy for poor BCI performers compared to existing methods""",passou
M. -a. Li; X. Luo; M. Zhang; J. Yang,Feature extraction and visualization of MI-EEG by LLE algorithm,2016,IEEE,depende,passou,passou,passou,passou,depende,depende,"O artigo fala ""To obtain features that can fully describe the information from a nonlinear nature and time-frequency perspective of MI-EEG, a novel feature extraction method is proposed based on the Locally Linear Embedding algorithm (LLE) and DWT. The multi-scale multi-resolution analysis is implemented for MI-EEG with DWT, and the valid time and frequency windows are determined in advance by a Wigner-Ville distribution. In view of the nonlinear structure in MI-EEG, LLE is applied to the approximation components to obtain the nonlinear features, and the statistics of the detail components are calculated to obtain the time-frequency features. After an organic combination of the two features, a Back-Propagation neural network optimized by a Genetic Algorithm was employed as a classifier to evaluate the effectiveness of the proposed feature extraction method."". Tem que verificar se LLE ou DWT aparace sendo o filtro temporal",passou
J. Camacho; V. Manian,Real-time single channel EEG motor imagery based Brain Computer Interface,2016,IEEE,depende,passou,passou,passou,passou,depende,depende,"Parece usar o STFT como filtro, já que fala ""Time frequency analysis using Short Time Fourier Transform (STFT) is used to compute spectrogram from the EEG data. The STFT is scaled to have gray level values on which Grey Co-occurrence Matrix (GLCM) is computed. Texture descriptors such as correlation, energy, contrast, homogeneity and dissimilarity are calculated from the GLCM matrices"", mas é bom verificar",passou
X. Li; H. Zhang; C. Guan; S. H. Ong; Y. Pan; K. K. Ang,Joint spatial-temporal filter design for analysis of motor imagery EEG,2013,IEEE,depende,passou,passou,passou,passou,depende,depende,"Fala de uma abordagem que trabalha com propagação do sinal e padrões espaciais. Não fica claro se tem filtro temporal. O artigo fala "" we propose that computational models which account for both signal propagation and volume conduction effects of the source neuronal activities can more accurately describe EEG during the specific brain activities and lead to more effective feature extraction. To this end, we devise a unified model for joint learning of signal propagation and spatial patterns.""",passou
P. Eskandari; A. Erfanian,Improving the performance of brain-computer interface through meditation practicing,2008,IEEE,depende,passou,passou,passou,passou,depende,depende,"O artigo fala ""The time-frequency analysis of EEG signals for meditation practitioners showed an event-related desynchronization (ERD) of beta rhythm before imagination during resting state."", mas não está claro se tem filtro temporal.",passou
P. Herman; G. Prasad; T. M. McGinnity; D. Coyle,Comparative Analysis of Spectral Approaches to Feature Extraction for EEG-Based Motor Imagery Classification,2008,IEEE,depende,passou,passou,passou,passou,depende,depende,,passou
L. Qin; J. Deng; L. Ding; B. He,Motor imagery classification by means of source analysis methods,2004,IEEE,depende,passou,passou,passou,passou,depende,depende,"Fala sobre o ICA como filtro espaço-temporal, mas não sei, vou verificar. O artigo fala ""We report our investigation of classification of imagined left and right hand movements by applying source analysis methods. Independent component analysis (ICA) is used as a spatio-temporal filter, then equivalent dipole analysis and cortical current density imaging methods are applied to reconstruct equivalent sources, to aid classification of motor imagery tasks in a human subject.""",passou
N. Yamawaki; C. Wilke; Z. M. Liu; B. He,Enhancement of Performance of an EEG-based Brain-Computer Interface by means of a Time-Frequency Approach,2005,IEEE,depende,passou,passou,passou,passou,depende,depende,"Artigo fala ""We have developed a novel time-frequency approach of classification of motor imagery (MI) tasks for brain-computer interface (BCI) applications."", mas só isso também. Verificar para ter certeza.",passou
C. Vidaurre; A. Schlogl; R. Cabeza; R. Scherer; G. Pfurtscheller,Study of On-Line Adaptive Discriminant Analysis for EEG-Based Brain Computer Interfaces,2007,IEEE,depende,passou,passou,passou,passou,depende,depende,"Não fala nada da filtragem temporal usada, se foi usada.",passou
B. Xu; A. Song; J. Wu,Algorithm of Imagined Left-Right Hand Movement Classification Based on Wavelet Transform and AR Parameter Model,2007,IEEE,depende,passou,passou,passou,passou,depende,depende,"O artigo fala ""The wavelet coefficients and autoregressive parameter model was used to extraction the features from the motor imagery EEG and the linear discriminant analysis based on mahalanobis distance was utilized to classify the pattern of left and right hand movement imagery."". Pode cer que o wavelet é o filtro temporal, mas é bom ver.",passou
W. Wu; X. Gao; B. Hong; S. Gao,Classifying Single-Trial EEG During Motor Imagery by Iterative Spatio-Spectral Patterns Learning (ISSPL),2008,IEEE,depende,passou,passou,passou,passou,depende,depende,"O artigo fala de um filtro espectral, que portanto abrange a parte temporal, entretanto acho melhor verificar para ter certeza. O artigo fala ""In this paper, we present a new algorithm termed iterative spatio-spectral patterns learning (ISSPL) that employs statistical learning theory to perform automatic learning of spatio-spectral filters. In ISSPL, spectral filters and the classifier are simultaneously parameterized for optimization to achieve good generalization performance. A detailed derivation and theoretical analysis of ISSPL are given.""",passou
Pengfei Wei; Qiuhua Li; Guanglin Li,Classifying motor imagery EEG by Empirical Mode Decomposition based on spatial-time-frequency joint analysis approach,2009,IEEE,depende,passou,passou,passou,passou,depende,depende,"Parce usar EMD como filtro temporal, já que fala ""A novel spatial-time-frequency approach to classify the different mental task in brain computer interface was presented. A high resolution time-frequency spectral was achieved by using empirical mode decomposition and Hilbert-Huang transform, and the subject specific spatial-time-frequency joint features were extracted from the restricted spectral of multi-channel EEG recordings.""",passou
K. P. Thomas; C. Guan; L. C. Tong; A. P. Vinod,A Study on the impact of spectral variability in brain-computer interface,2010,IEEE,depende,passou,passou,passou,passou,depende,depende,"O artigo parece fazer um estudo interessante sobre bandas de frequencia para cada sujeito em cada sessão. O artigo fala ""In this paper, we investigate the variability of discriminative spectral ranges and its impact on classification accuracy. It is found that for each subject, his discriminative frequency bands changes significantly from session to session, but keeps almost stable within a session. We then propose a method to adaptively update the discriminative frequency bands using Time-Frequency fisher ratio."". Parece que criaram um filtro temporal adaptativo, mas é bom ler mais a fundo para ter certeza",passou
Huijuan Yang; C. Guan; K. K. Ang; C. C. Wang; K. S. Phua; Juanhong Yu,Dynamic initiation and dual-tree complex wavelet feature-based classification of motor imagery of swallow EEG signals,2012,IEEE,depende,passou,passou,passou,passou,depende,depende,"Parce usar DT-CWT, mas não tenho certeza se como filtro temporal. O artigo fala ""The proposed scheme extracts features from the coefficients of dual-tree complex wavelet transform (DT-CWT). A novel sliding window-based peak localization scheme is proposed to dynamically locate the initiation of tongue movement from Electromyography (EMG) signal""",passou
J. Gu; R. Ward,Novel feature generation and classification for a 2-state Self-paced Brain Computer Interface system,2012,IEEE,depende,passou,passou,passou,passou,depende,depende,"Artigo fala ""This paper introduces a novel feature generation method for EEG motor imagery data, based on Multivariate Empirical Mode Decomposition (MEMD), the Hilbert Transform and a phase synchronization index. Novelties of our approach are (1) MEMD is applied for decomposing an EEG signal into its narrow-band frequency components, from which features of the different brain states are calculated, and (2) a phase synchronization index is calculated without averaging over trials or time."". Parece mais um outro MEMD",passou
O. Carrera-León; J. M. Ramirez; V. Alarcon-Aquino; M. Baker; D. D'Croz-Baron; P. Gomez-Gil,A motor imagery BCI experiment using wavelet analysis and spatial patterns feature extraction,2012,IEEE,depende,passou,passou,passou,passou,depende,depende,"O artigo fala "" In this work, a convenient time-frequency representation (TFR) for visualizing ERD/ERS phenomenon (Event related synchronization and desynchronization) based on Hilbert transform and spatial patterns is addressed, and a wavelet based feature extraction method for motor imagery tasks is presented."". Possivelmente vai ser +1 filtro temporal",passou
I. Homri; S. Yacoub; N. Ellouze,Optimal segments selection for EEG classification,2012,IEEE,depende,passou,passou,passou,passou,depende,depende,"Parece usar wavelet como filtro temporal, ler para ter certeza. O artigo fala "" To extract discriminating features from EEG signals, wavelet transform is a concrete method which deals with time frequency aspect of non stationary EEG signals.""",passou
